,Date,State,Confirmed,Deceased,Recovered,State_Name
169,02-Jun-20,HR,296,2,14,Haryana
170,02-Jun-20,JH,61,0,0,Jharkhand
171,02-Jun-20,JK,117,2,7,Jammu and Kashmir
172,02-Jun-20,KA,388,0,75,Karnataka
173,02-Jun-20,KL,86,1,19,Kerala
174,02-Jun-20,LA,4,1,0,Ladakh
175,02-Jun-20,LD,0,0,0,Lakshadweep
176,02-Jun-20,MH,2287,103,1225,Maharashtra
177,02-Jun-20,ML,2,0,0,Meghalaya
178,02-Jun-20,MN,6,0,3,Manipur
179,02-Jun-20,MP,137,6,218,Madhya Pradesh
180,02-Jun-20,MZ,12,0,0,Mizoram
181,02-Jun-20,NL,6,0,0,Nagaland
182,02-Jun-20,OR,141,0,80,Odisha
183,02-Jun-20,PB,41,2,17,Punjab
184,02-Jun-20,PY,0,0,0,Puducherry
185,02-Jun-20,RJ,273,4,222,Rajasthan
186,02-Jun-20,SK,0,0,0,Sikkim
187,02-Jun-20,TG,99,4,35,Telangana
188,02-Jun-20,TN,1091,13,536,Tamil Nadu
189,02-Jun-20,TR,48,0,0,Tripura
190,02-Jun-20,TT,8815,222,4531,Total
191,02-Jun-20,UN,784,0,0,State Unassigned
192,02-Jun-20,UP,368,7,146,Uttar Pradesh
193,02-Jun-20,UT,84,2,30,Uttarakhand
194,02-Jun-20,WB,396,10,104,West Bengal
195,02-May-20,AN,0,0,10,Andaman and Nicobar Islands
196,02-May-20,AP,62,0,38,Andhra Pradesh
197,02-May-20,AR,0,0,0,Arunachal Pradesh
198,02-May-20,AS,0,0,0,Assam
199,02-May-20,BR,15,1,19,Bihar
200,02-May-20,CH,6,0,1,Chandigarh
201,02-May-20,CT,0,0,0,Chhattisgarh
202,02-May-20,DD,0,0,0,Daman and Diu
203,02-May-20,DL,384,3,89,Delhi
204,02-May-20,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
205,02-May-20,GA,0,0,0,Goa
206,02-May-20,GJ,333,26,160,Gujarat
207,02-May-20,HP,0,0,3,Himachal Pradesh
208,02-May-20,HR,19,1,1,Haryana
209,02-May-20,JH,2,0,1,Jharkhand
210,02-May-20,JK,27,0,7,Jammu and Kashmir
211,02-May-20,KA,12,3,20,Karnataka
212,02-May-20,KL,2,0,8,Kerala
213,02-May-20,LA,1,0,0,Ladakh
214,02-May-20,LD,0,0,0,Lakshadweep
215,02-May-20,MH,790,36,121,Maharashtra
216,02-May-20,ML,0,0,0,Meghalaya
217,02-May-20,MN,0,0,0,Manipur
218,02-May-20,MP,73,6,100,Madhya Pradesh
219,02-May-20,MZ,0,0,0,Mizoram
220,02-May-20,NL,0,0,0,Nagaland
221,02-May-20,OR,6,0,1,Odisha
222,02-May-20,PB,187,0,4,Punjab
223,02-May-20,PY,1,0,0,Puducherry
224,02-May-20,RJ,106,6,126,Rajasthan
225,02-May-20,SK,0,0,0,Sikkim
226,02-May-20,TG,17,1,35,Telangana
227,02-May-20,TN,231,1,29,Tamil Nadu
228,02-May-20,TR,2,0,0,Tripura
229,02-May-20,TT,2564,92,831,Total
230,02-May-20,UN,0,0,0,State Unassigned
231,02-May-20,UP,159,1,44,Uttar Pradesh
232,02-May-20,UT,2,0,2,Uttarakhand
233,02-May-20,WB,127,7,12,West Bengal
234,03-Apr-20,AN,0,0,0,Andaman and Nicobar Islands
235,03-Apr-20,AP,15,1,0,Andhra Pradesh
236,03-Apr-20,AR,0,0,0,Arunachal Pradesh
237,03-Apr-20,AS,7,0,0,Assam
238,03-Apr-20,BR,2,0,0,Bihar
239,03-Apr-20,CH,0,0,0,Chandigarh
240,03-Apr-20,CT,0,0,0,Chhattisgarh
241,03-Apr-20,DD,0,0,0,Daman and Diu
242,03-Apr-20,DL,93,2,0,Delhi
243,03-Apr-20,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
244,03-Apr-20,GA,1,0,0,Goa
245,03-Apr-20,GJ,7,2,0,Gujarat
246,03-Apr-20,HP,0,1,0,Himachal Pradesh
247,03-Apr-20,HR,9,0,0,Haryana
248,03-Apr-20,JH,0,0,0,Jharkhand
249,03-Apr-20,JK,5,0,0,Jammu and Kashmir
250,03-Apr-20,KA,4,1,0,Karnataka
251,03-Apr-20,KL,9,0,14,Kerala
252,03-Apr-20,LA,1,0,0,Ladakh
253,03-Apr-20,LD,0,0,0,Lakshadweep
254,03-Apr-20,MH,64,5,8,Maharashtra
255,03-Apr-20,ML,0,0,0,Meghalaya
256,03-Apr-20,MN,0,0,0,Manipur
257,03-Apr-20,MP,47,0,0,Madhya Pradesh
258,03-Apr-20,MZ,0,0,0,Mizoram
259,03-Apr-20,NL,0,0,0,Nagaland
260,03-Apr-20,OR,15,0,1,Odisha
261,03-Apr-20,PB,6,0,0,Punjab
262,03-Apr-20,PY,0,0,0,Puducherry
263,03-Apr-20,RJ,46,0,0,Rajasthan
264,03-Apr-20,SK,0,0,0,Sikkim
265,03-Apr-20,TG,75,2,15,Telangana
266,03-Apr-20,TN,102,0,0,Tamil Nadu
267,03-Apr-20,TR,0,0,0,Tripura
268,03-Apr-20,TT,560,14,38,Total
269,03-Apr-20,UN,0,0,0,State Unassigned
270,03-Apr-20,UP,46,0,0,Uttar Pradesh
271,03-Apr-20,UT,6,0,0,Uttarakhand
272,03-Apr-20,WB,0,0,0,West Bengal
273,03-Jun-20,AN,0,0,0,Andaman and Nicobar Islands
274,03-Jun-20,AP,180,4,50,Andhra Pradesh
275,03-Jun-20,AR,10,0,0,Arunachal Pradesh
276,03-Jun-20,AS,271,0,76,Assam
277,03-Jun-20,BR,230,1,222,Bihar
278,03-Jun-20,CH,0,0,0,Chandigarh
279,03-Jun-20,CT,64,0,40,Chhattisgarh
280,03-Jun-20,DD,0,0,0,Daman and Diu
281,03-Jun-20,DL,1513,59,299,Delhi
282,03-Jun-20,DN,8,0,0,Dadra and Nagar Haveli and Daman and Diu
283,03-Jun-20,GA,47,0,0,Goa
284,03-Jun-20,GJ,485,30,318,Gujarat
285,03-Jun-20,HP,14,0,10,Himachal Pradesh
286,03-Jun-20,HR,302,0,20,Haryana
287,03-Jun-20,JH,42,0,1,Jharkhand
288,03-Jun-20,JK,139,1,54,Jammu and Kashmir
289,03-Jun-20,KA,267,1,111,Karnataka
290,03-Jun-20,KL,82,0,24,Kerala
291,03-Jun-20,LA,9,0,1,Ladakh
292,03-Jun-20,LD,0,0,0,Lakshadweep
293,03-Jun-20,MH,2560,122,996,Maharashtra
294,03-Jun-20,ML,3,0,1,Meghalaya
295,03-Jun-20,MN,19,0,24,Manipur
296,03-Jun-20,MP,168,7,224,Madhya Pradesh
297,03-Jun-20,MZ,1,0,0,Mizoram
298,03-Jun-20,NL,9,0,0,Nagaland
299,03-Jun-20,OR,143,0,91,Odisha
300,03-Jun-20,PB,34,1,12,Punjab
301,03-Jun-20,PY,11,0,8,Puducherry
302,03-Jun-20,RJ,279,6,309,Rajasthan
303,03-Jun-20,SK,1,0,0,Sikkim
304,03-Jun-20,TG,129,7,30,Telangana
305,03-Jun-20,TN,1286,8,610,Tamil Nadu
306,03-Jun-20,TR,151,0,0,Tripura
307,03-Jun-20,TT,9689,259,3789,Total
308,03-Jun-20,UN,709,0,0,State Unassigned
309,03-Jun-20,UP,141,1,81,Uttar Pradesh
310,03-Jun-20,UT,42,1,7,Uttarakhand
311,03-Jun-20,WB,340,10,170,West Bengal
312,03-May-20,AN,0,0,6,Andaman and Nicobar Islands
